run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
iredev-atm-single_agent-s303,ATM,303,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.009842,1,7,0,0,7,6,0.0,0.0,0.0,0.936097,0.0,1.0,1,0,0.7,0.2,3.24,3.8,2.4,5.0,2.68,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-atm-multi_agent_without_negotiation-s303,ATM,303,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,166.406158,6,30,0,0,30,24,0.0,0.008122,0.728645,0.919906,0.0,1.0,1,0,0.3,0.428571,3.742856,3.8,1.6,5.0,1.72,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-atm-multi_agent_with_negotiation-s303,ATM,303,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,175.478533,6,27,6,12,7,6,1.0,0.004106,0.651465,0.904404,0.984143,1.0,1,0,0.1,0.5,3.9,3.8,1.2,5.0,1.24,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-atm-negotiation_integration_verification-s303,ATM,303,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,160.965273,6,30,6,12,30,24,1.0,0.008333,0.710428,0.912618,0.990439,1.0,1,1,0.2,0.571429,4.057144,5.0,3.4,5.0,3.08,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-bookkeeping-single_agent-s101,Bookkeeping,101,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006875,1,6,0,0,6,5,0.0,0.0,0.012232,0.932253,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-bookkeeping-multi_agent_without_negotiation-s101,Bookkeeping,101,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,204.940306,6,29,0,0,29,23,0.0,0.004206,0.695966,0.923975,0.0,1.0,1,0,0.8,0.571429,4.057144,3.8,2.6,5.0,2.92,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-bookkeeping-multi_agent_with_negotiation-s101,Bookkeeping,101,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,185.013601,6,30,6,12,7,6,0.0,0.004083,0.645943,0.921967,1.0,1.0,1,0,0.4,0.6,4.12,3.8,1.8,5.0,1.96,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-bookkeeping-negotiation_integration_verification-s101,Bookkeeping,101,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,158.873936,6,30,6,12,30,24,0.0,0.005945,0.711926,0.931944,1.0,1.0,1,1,0.8,0.666667,4.266667,5.0,4.6,5.0,4.52,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-bookkeeping-single_agent-s202,Bookkeeping,202,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006785,1,6,0,0,6,5,0.0,0.0,0.012655,0.93366,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-bookkeeping-multi_agent_without_negotiation-s202,Bookkeeping,202,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,157.992739,6,27,0,0,27,21,0.0,0.005653,0.704677,0.930767,0.0,1.0,1,0,0.6,0.4,3.68,3.8,2.2,5.0,2.44,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-bookkeeping-multi_agent_with_negotiation-s202,Bookkeeping,202,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,151.196212,6,30,6,12,7,6,0.0,0.005833,0.690995,0.921251,1.0,1.0,1,0,0.4,0.666667,4.266667,3.8,1.8,5.0,1.96,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-bookkeeping-negotiation_integration_verification-s202,Bookkeeping,202,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,167.05487,6,27,6,12,27,21,0.0,0.005768,0.693586,0.929486,1.0,1.0,1,1,0.8,0.2,3.24,5.0,4.6,5.0,4.52,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-bookkeeping-single_agent-s303,Bookkeeping,303,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006659,1,6,0,0,6,5,0.0,0.0,0.013149,0.932116,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-bookkeeping-multi_agent_without_negotiation-s303,Bookkeeping,303,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,135.069611,6,27,0,0,27,21,0.0,0.005887,0.65113,0.932883,0.0,1.0,1,0,1.0,0.5,3.9,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-bookkeeping-multi_agent_with_negotiation-s303,Bookkeeping,303,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,131.645784,6,29,6,12,7,6,0.0,0.002861,0.603092,0.931179,1.0,1.0,1,0,0.4,0.8,4.56,3.8,1.8,5.0,1.96,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-bookkeeping-negotiation_integration_verification-s303,Bookkeeping,303,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,148.995562,6,27,6,12,27,21,1.0,0.005877,0.694841,0.924461,0.988611,1.0,1,1,0.4,0.714286,4.371429,5.0,3.8,5.0,3.56,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
