run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
mare-atm-single_agent-s303,ATM,303,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.009502,1,7,0,0,7,6,0.0,0.0,0.0,0.936097,0.0,1.0,1,0,0.7,0.2,3.24,3.8,2.4,5.0,2.68,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-atm-multi_agent_without_negotiation-s303,ATM,303,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,32.218645,5,25,0,0,25,20,0.0,0.006121,0.85329,0.907152,0.0,1.0,1,0,0.5,0.2,3.24,3.8,2.0,5.0,2.2,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-atm-multi_agent_with_negotiation-s303,ATM,303,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,28.899288,5,25,5,10,6,5,1.0,0.001697,0.793046,0.877371,0.937063,1.0,1,0,0.2,0.8,4.56,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-atm-negotiation_integration_verification-s303,ATM,303,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,32.580349,5,25,5,10,25,20,0.0,0.005275,0.863757,0.910482,1.0,1.0,1,1,0.4,0.166667,3.166667,5.0,3.8,5.0,3.56,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-bookkeeping-single_agent-s101,Bookkeeping,101,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.005431,1,6,0,0,6,5,0.0,0.0,0.012232,0.932253,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-bookkeeping-multi_agent_without_negotiation-s101,Bookkeeping,101,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,33.17205,5,25,0,0,25,20,0.0,0.005759,0.842009,0.880123,0.0,1.0,1,0,0.8,0.6,4.12,3.8,2.6,5.0,2.92,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-bookkeeping-multi_agent_with_negotiation-s101,Bookkeeping,101,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,35.560946,5,25,5,10,6,5,1.0,0.093169,0.876991,0.903805,0.964178,1.0,1,0,0.2,0.833333,4.633333,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-bookkeeping-negotiation_integration_verification-s101,Bookkeeping,101,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,37.714348,5,25,5,10,25,20,0.0,0.005953,0.853717,0.905624,1.0,1.0,1,1,0.8,0.833333,4.633333,5.0,4.6,5.0,4.52,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-bookkeeping-single_agent-s202,Bookkeeping,202,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.006316,1,6,0,0,6,5,0.0,0.0,0.012655,0.93366,0.0,1.0,1,0,1.0,0.8,4.56,3.8,3.0,5.0,3.4,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-bookkeeping-multi_agent_without_negotiation-s202,Bookkeeping,202,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,37.748549,5,25,0,0,25,20,0.0,0.005846,0.853202,0.918286,0.0,1.0,1,0,0.8,0.833333,4.633333,3.8,2.6,5.0,2.92,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-bookkeeping-multi_agent_with_negotiation-s202,Bookkeeping,202,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,40.235934,5,25,5,10,6,5,1.0,0.071385,0.834361,0.885629,0.966826,1.0,1,0,0.2,0.666667,4.266667,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
